Authors_Name;Affiliation;url_photos
Benoît Frénay;@unamur.be;https://scholar.google.com/citations?view_op=medium_photo&user=X9EK12cAAAAJ
Benoît Grossin;;
Benoît Macq;@uclouvain.be;https://scholar.google.com/citations?view_op=medium_photo&user=H9pGN70AAAAJ
Benoît Otjacques;@list.lu;https://scholar.google.com/citations?view_op=medium_photo&user=g4T01GEAAAAJ
Benoît Vaillant;;
Bernard Dousset;;
Bernard Gibaud;@univ-rennes1.fr;https://scholar.google.com/citations?view_op=medium_photo&user=2qYsZp8AAAAJ
Bernard Kaddour;;
Bernard Moulin;;
Bernard Rothenburger;;
Bernardo Lopez;;https://scholar.google.com/citations?view_op=medium_photo&user=7x0q998AAAAJ
Bernhard Pfahringer;@waikato.ac.nz;https://scholar.google.com/citations?view_op=medium_photo&user=PEv3OQUAAAAJ
Bert C. Huang;;
Bertjan Broeksema;@broeksemaatjes.nl;https://scholar.google.com/citations?view_op=medium_photo&user=GvRPcWgAAAAJ
Bertrand Jouve;@univ-tlse2.fr;https://scholar.google.com/citations?view_op=medium_photo&user=abhOXAgAAAAJ
Bertrand Petitjean;;
Bich-Liên Doan;@centralesupelec.fr;https://scholar.google.com/citations?view_op=medium_photo&user=Oo6uX2oAAAAJ
Bilal Idiri;@mines-paristech.fr;https://scholar.google.com/citations?view_op=medium_photo&user=1uYwjgMAAAAJ
Billel Arres;@univ-lyon2.fr;https://scholar.google.com/citations?view_op=medium_photo&user=B0XaTA4AAAAJ
Bin-Hui Chou;;
Birahim Gueye;;
Bissan Audeh;;
Blaise Hanczar;;https://scholar.google.com/citations?view_op=medium_photo&user=wBImRtkAAAAJ
Blaise Ngonmang;@univ-paris13.fr;https://scholar.google.com/citations?view_op=medium_photo&user=zkzYZEsAAAAJ
Blandine Comte;;
Bogdan Moisuc;;
Boris Baldassari;@castalia.solutions;https://scholar.google.com/citations?view_op=medium_photo&user=o-GiIHQAAAAJ
Boris Borzic;;
Boris Chidlovskii;@naverlabs.com;https://scholar.google.com/citations?view_op=medium_photo&user=V7EJdOcAAAAJ
Boris Verhaegen;;
Boutheina Ben Yaghlane;;https://scholar.google.com/citations?view_op=medium_photo&user=vxUyAewAAAAJ
Boutheina Smine;;
Bouziane Beldjilali;;
Brahim Douar;@lirmm.fr;https://scholar.google.com/citations?view_op=medium_photo&user=KM3gS-8AAAAJ
Brice Olivier;@csh.unibe.ch;https://scholar.google.com/citations?view_op=medium_photo&user=-klav54AAAAJ
Brieuc Conan-Guez;;
Brigitte Hoeltzener;;
Brigitte Noiret;;
Brigitte Safar;;
Brigitte Trousse;@inria.fr;https://scholar.google.com/citations?view_op=medium_photo&user=15MHXeAAAAAJ
Brivael Trelhu;;
Bruno Bouzy;@parisdescartes.fr;https://scholar.google.com/citations?view_op=medium_photo&user=_WC4SssAAAAJ
Bruno Canitia;;
Bruno Conche;;
Bruno Crémilleux;@unicaen.fr;https://scholar.google.com/citations?view_op=medium_photo&user=spkkpFcAAAAJ
Bruno Debray;;
Bruno Defude;@it-sudparis.eu;https://scholar.google.com/citations?view_op=medium_photo&user=Keto5W4AAAAJ
Bruno Delprat;;
Bruno Faivre;@laet.ish-lyon.cnrs.fr;https://scholar.google.com/citations?view_op=medium_photo&user=Rmsz5wUAAAAJ
Bruno Gaume;@univ-tlse2.fr;https://scholar.google.com/citations?view_op=medium_photo&user=xUIt_8sAAAAJ
Bruno Guerraz;;
Bruno Mermet;@univ-lehavre.fr;https://scholar.google.com/citations?view_op=medium_photo&user=skrcBeEAAAAJ
Bruno Pinaud;@labri.fr;https://scholar.google.com/citations?view_op=medium_photo&user=mfnUdHMAAAAJ
Bruno Roux;;
Béatrice Bouchou;@univ-tours.fr;https://scholar.google.com/citations?view_op=medium_photo&user=WCQ7lmoAAAAJ
Béatrice Fuchs;@liris.cnrs.fr;https://scholar.google.com/citations?view_op=medium_photo&user=pzyoZLQAAAAJ
Bénédicte Le Grand;@univ-paris1.fr;https://scholar.google.com/citations?view_op=medium_photo&user=xMlLkEYAAAAJ
C. Thao;;https://scholar.google.com/citations?view_op=medium_photo&user=Sak2PDcAAAAJ
Camille Kurtz;@parisdescartes.fr;https://scholar.google.com/citations?view_op=medium_photo&user=DNy5oBAAAAAJ
Camille Pradel;;
Carine Hue;;
Carl Frélicot;@univ-lr.fr;https://scholar.google.com/citations?view_op=medium_photo&user=JutXzaEAAAAJ
Caroline Collet;;
Caroline Wintergerst;;
Cassio Melo;;
Catherine Comparot;;
Catherine Dominguès;@umich.edu;https://scholar.google.com/citations?view_op=medium_photo&user=Mc1Zft8AAAAJ
Catherine Faron-Zucker;@unice.fr;https://scholar.google.com/citations?view_op=medium_photo&user=JROMCjEAAAAJ
Catherine Roussey;@irstea.fr;https://scholar.google.com/citations?view_op=medium_photo&user=g4Kt8ZIAAAAJ
Cecilia Zanni;@insa-rouen.fr;https://scholar.google.com/citations?view_op=medium_photo&user=fIwP3NIAAAAJ
Celine Robardet;@insa-lyon.fr;https://scholar.google.com/citations?view_op=medium_photo&user=0l9QDl0AAAAJ
Celson Lima;@ufopa.edu.br;https://scholar.google.com/citations?view_op=medium_photo&user=IilFSb8AAAAJ
Chabane Djeraba;@univ-lille.fr;https://scholar.google.com/citations?view_op=medium_photo&user=cCo-rYsAAAAJ
Chahrazed Bouhini;;
Chan Le Duc;;
Chantal Reynaud;;
Chantal Reynaud-Delaître;;
Chantal Soulé-Dupuy;;
Charles Bouveyron;@math.cnrs.fr;https://scholar.google.com/citations?view_op=medium_photo&user=KoWHecYAAAAJ
Charles Foveau;;
Charles Huyghues-Despointes;;
Chedi Bechikh Ali;;
Chedy Raïssi;@inria.fr;https://scholar.google.com/citations?view_op=medium_photo&user=iMXuJYsAAAAJ
Cheikh Niang;@lstmed.ac.uk;https://scholar.google.com/citations?view_op=medium_photo&user=nJGZFLAAAAAJ
Cheikh Talibouya Diop;@ugb.edu.sn;https://scholar.google.com/citations?view_op=medium_photo&user=CEsrBSsAAAAJ
Chengcheng Mu;;
Cherif Chiraz Latiri;;
"Chiheb-Eddine Ben N&#146;Cir";@isg.rnu.tn;https://scholar.google.com/citations?view_op=medium_photo&user=in6yvikAAAAJ
Chiheb-Eddine Ben N’Cir;@isg.rnu.tn;https://scholar.google.com/citations?view_op=medium_photo&user=in6yvikAAAAJ
Chiraz Latiri;@gnet.tn;https://scholar.google.com/citations?view_op=medium_photo&user=XUtuzbYAAAAJ
Chongsheng Zhang;;
Chowdhury Farhan Ahmed;@cse.univdhaka.edu;https://scholar.google.com/citations?view_op=medium_photo&user=Pn6bN_IAAAAJ
Christel Vrain;;
Christelle Vangenot;;
Christian Bac;@okstate.edu;https://scholar.google.com/citations?view_op=medium_photo&user=OnllPIUAAAAJ
Christian Belbeze;;
Christian Chervet;;
Christian Ernst;@lutradyn.com;https://scholar.google.com/citations?view_op=medium_photo&user=rUUTQU8AAAAJ
Christian Lautier;@wlu.ca;https://scholar.google.com/citations?view_op=medium_photo&user=zwpK9MEAAAAJ
Christian Pomot;;
Christian Puech;;
Christian Sallaberry;@univ-pau.fr;https://scholar.google.com/citations?view_op=medium_photo&user=3wxj0jsAAAAJ
Christian Surace;@lam.fr;https://scholar.google.com/citations?view_op=medium_photo&user=1jX4_LkAAAAJ
Christiane Guinot;;
Christine Froidevaux;;
Christine Golbreich;;
Christine Largeron;@univ-st-etienne.fr;https://scholar.google.com/citations?view_op=medium_photo&user=YgSSCaIAAAAJ
Christine Martin;@geo.uni-halle.de;https://scholar.google.com/citations?view_op=medium_photo&user=fcfp9hUAAAAJ
Christine Parent;@msu.edu;https://scholar.google.com/citations?view_op=medium_photo&user=jmZ9Ua4AAAAJ
Christine Plumejeaud;;
Christine Poitou-Bernert;;
Christine Potier;;
Christophe Brouard;;
Christophe Candillier;;
Christophe Collet;@unistra.fr;https://scholar.google.com/citations?view_op=medium_photo&user=oNyhq10AAAAJ
Christophe Coppens;@deltacollege.edu;https://scholar.google.com/citations?view_op=medium_photo&user=zOLeojoAAAAJ
Christophe Cruz;@ucsc.edu;https://scholar.google.com/citations?view_op=medium_photo&user=BmMiz5EAAAAJ
Christophe Dousson;;
Christophe Ducottet;@univ-st-etienne.fr;https://scholar.google.com/citations?view_op=medium_photo&user=oj8J16sAAAAJ
Christophe Fagot;;
Christophe Gravier;;
Christophe Lejeune;@uliege.be;https://scholar.google.com/citations?view_op=medium_photo&user=p2tLkoMAAAAJ
Christophe Marsala;@lip6.fr;https://scholar.google.com/citations?view_op=medium_photo&user=pRFJ6GwAAAAJ
Christophe Moulin;@libertysurf.fr;https://scholar.google.com/citations?view_op=medium_photo&user=-8ud0PkAAAAJ
Christophe Nicolle;@u-bourgogne.fr;https://scholar.google.com/citations?view_op=medium_photo&user=sIwxy6IAAAAJ
Christophe Rigotti;;
Christophe Roche;@roche.com;https://scholar.google.com/citations?view_op=medium_photo&user=8zzeGioAAAAJ
Christophe Salperwyck;@pl.abb.com;https://scholar.google.com/citations?view_op=medium_photo&user=1liZWPAAAAAJ
Christophe Thovex;;
Christophe Tricot;;
Christopher Kermorvant;@teklia.com;https://scholar.google.com/citations?view_op=medium_photo&user=u5SbAJAAAAAJ
Chérif Mballo;;
Ciprian-Octavian Truica;@cs.au.dk;https://scholar.google.com/citations?view_op=medium_photo&user=ZOKqr-QAAAAJ
Claire François;;
Claire Gauzente;;
Claire Goiran;@unc.nc;https://scholar.google.com/citations?view_op=medium_photo&user=DeP3VTkAAAAJ
Claire Laudy;;https://scholar.google.com/citations?view_op=medium_photo&user=YZIaWD8AAAAJ
Claire Lavigne;;
Claire Nédellec;@inra.fr;https://scholar.google.com/citations?view_op=medium_photo&user=Iyc0WewAAAAJ
Claire Serp;;
Claire Toffano-Nioche;;
Claire-Lise Mottaz Jiang;;
Claude Caron;;
Claude Grasland;@parisgeo.cnrs.fr;https://scholar.google.com/citations?view_op=medium_photo&user=oGq8BT4AAAAJ
Claude Martineau;;
Claude Pasquier;@unice.fr;https://scholar.google.com/citations?view_op=medium_photo&user=YxoGQlYAAAAJ
Claudia Marinica;@ensea.fr;https://scholar.google.com/citations?view_op=medium_photo&user=blIWjJ8AAAAJ
Claudia d’Amato;@uniba.it;https://scholar.google.com/citations?view_op=medium_photo&user=Ah9jLLwAAAAJ
Clémence Magnien;;
Clément Charnay;;
Clément Chatelain;@insa-rouen.fr;https://scholar.google.com/citations?view_op=medium_photo&user=yv5aIM4AAAAJ
Clément Christophe;@univ-reims.fr;https://scholar.google.com/citations?view_op=medium_photo&user=ZVj7IdcAAAAJ
Clément Fauré;;
Clément Iphar;@cmre.nato.int;https://scholar.google.com/citations?view_op=medium_photo&user=9uzZOHsAAAAJ
Clément Jamard;;
Clément Mallet;@ign.fr;https://scholar.google.com/citations?view_op=medium_photo&user=1XoK-YMAAAAJ
Clément Reverdy;;
Clémentine Nebut;;
Colin Leverger;;
Coriane Nana Jipmo;;
Corinne Mandin;;
Cristian Martinez;@cecs.cl;https://scholar.google.com/citations?view_op=medium_photo&user=nQSiB8QAAAAJ
Cristina Nica;@roche.com;https://scholar.google.com/citations?view_op=medium_photo&user=lvsfMbAAAAAJ
Cristina Tîrnauca;;
Cyril Broilliard;;
Cyril Labbé;;
Cyril Nortet;;
Cyril Ray;@ecole-navale.fr;https://scholar.google.com/citations?view_op=medium_photo&user=RHWoF3sAAAAJ
Cyril de Runz;@feb.unimas.my;https://scholar.google.com/citations?view_op=medium_photo&user=DuJqcNQAAAAJ
Cyrine Nasri;;
Cássia Trojahn dos Santos;;
Cécile Barat;@univ-st-etienne.fr;https://scholar.google.com/citations?view_op=medium_photo&user=DpVtO_UAAAAJ
Cécile Bothorel;@imt-atlantique.fr;https://scholar.google.com/citations?view_op=medium_photo&user=HYykWw0AAAAJ
Cécile Favre;@univ-lorraine.fr;https://scholar.google.com/citations?view_op=medium_photo&user=4MU3G78AAAAJ
Cécile Low-Kam;;
Cécile Million-Rousseau;;
Cédric Dray;;
Cédric Lopez;@emvista.com;https://scholar.google.com/citations?view_op=medium_photo&user=xnOSpDEAAAAJ
Cédric Maigrot;@irisa.fr;https://scholar.google.com/citations?view_op=medium_photo&user=Z5PgOcIAAAAJ
Cédric Pruski;@list.lu;https://scholar.google.com/citations?view_op=medium_photo&user=S8FXrdkAAAAJ
Cédric Udréa;;
Cédric Vidrequin;;
Cédric Wemmert;@unistra.fr;https://scholar.google.com/citations?view_op=medium_photo&user=53-jD5QAAAAJ
Cédrick Fairon;@uclouvain.be;https://scholar.google.com/citations?view_op=medium_photo&user=_0zTg1UAAAAJ
Célia Da Costa Pereira;@unice.fr;https://scholar.google.com/citations?view_op=medium_photo&user=c0Ftou0AAAAJ
Céline Alec;;
Céline Fiot;;
Céline Rouveirol;@lipn.univ-paris13.fr;https://scholar.google.com/citations?view_op=medium_photo&user=XVgs0v8AAAAJ
Dahbia Semani;;
Damien Barache;;
Damien Leprovost;;https://scholar.google.com/citations?view_op=medium_photo&user=wlDZZooAAAAJ
Damien M. de Vienne;@univ-lyon1.fr;https://scholar.google.com/citations?view_op=medium_photo&user=dv1OMysAAAAJ
Damien Nouvel;@inalco.fr;https://scholar.google.com/citations?view_op=medium_photo&user=RsM7QaoAAAAJ
Damien Poirier;;
Damien Raclot;@supagro.inra.fr;https://scholar.google.com/citations?view_op=medium_photo&user=sFuykOkAAAAJ
Damien Sileo;@irit.fr;https://scholar.google.com/citations?view_op=medium_photo&user=SIJPeoYAAAAJ
Dan A. Simovici;;
Dan Archambault;@swansea.ac.uk;https://scholar.google.com/citations?view_op=medium_photo&user=DwSNWBoAAAAJ
Dan Simovici;@cs.umb.edu;https://scholar.google.com/citations?view_op=medium_photo&user=Pun4WO8AAAAJ
Dan-Mircea Suciu;;
Dana Codreanu;;
Dana Popovici;;
Daniel Beauchêne;;
Daniel Keim;@uni-konstanz.de;https://scholar.google.com/citations?view_op=medium_photo&user=YJm9he0AAAAJ
Daniel Rocacher;@enssat.fr;https://scholar.google.com/citations?view_op=medium_photo&user=jVJcB0EAAAAJ
Daniel Rubin;;https://scholar.google.com/citations?view_op=medium_photo&user=u2duqkYAAAAJ
Danielle Boulanger;;
Danièle Hérin;;
Danny Lo Seen;;
David Auber;@labri.fr;https://scholar.google.com/citations?view_op=medium_photo&user=aiWWFIgAAAAJ
David Combe;@univ-st-etienne.fr;https://scholar.google.com/citations?view_op=medium_photo&user=WqtfxQ8AAAAJ
David Da Costa;@ucm.es;https://scholar.google.com/citations?view_op=medium_photo&user=SP7UDYkAAAAJ
